0 , 4
4 , 16
6 , 22
10 , 34
12 , 40
14 , 46
16 , 52
18 , 58
22 , 70
22 , 70
24 , 76
24 , 76
24 , 76
24 , 76
26 , 82
28 , 88
28 , 88
28 , 88
34 , 106
34 , 106
36 , 112
38 , 118
42 , 130
42 , 130
48 , 148
56 , 172
60 , 184
60 , 184
60 , 184
60 , 184
64 , 196
66 , 202
68 , 208
68 , 208
70 , 214
72 , 220
72 , 220
74 , 226
80 , 244
82 , 250
84 , 256
84 , 256
84 , 256
90 , 274
92 , 280
96 , 292
96 , 292
102 , 310
102 , 310
106 , 322
112 , 340
112 , 340
114 , 346
116 , 352
116 , 352
120 , 364
122 , 370
122 , 370
126 , 382
128 , 388
136 , 412
138 , 418
138 , 418
140 , 424
142 , 430
144 , 436
144 , 436
148 , 448
150 , 454
152 , 460
152 , 460
152 , 460
152 , 460
154 , 466
156 , 472
160 , 484
162 , 490
162 , 490
168 , 508
168 , 508
170 , 514
170 , 514
172 , 520
174 , 526
174 , 526
176 , 532
178 , 538
178 , 538
180 , 544
180 , 544
182 , 550
182 , 550
186 , 562
188 , 568
190 , 574
192 , 580
194 , 586
198 , 598
198 , 598
198 , 598
