82 , 250
36 , 112
138 , 418
168 , 508
152 , 460
174 , 526
168 , 508
198 , 598
60 , 184
16 , 52
24 , 76
140 , 424
126 , 382
192 , 580
114 , 346
66 , 202
150 , 454
96 , 292
0 , 4
6 , 22
116 , 352
178 , 538
186 , 562
120 , 364
174 , 526
194 , 586
180 , 544
136 , 412
28 , 88
144 , 436
106 , 322
162 , 490
60 , 184
92 , 280
64 , 196
10 , 34
162 , 490
178 , 538
84 , 256
84 , 256
26 , 82
24 , 76
138 , 418
112 , 340
116 , 352
160 , 484
72 , 220
90 , 274
180 , 544
74 , 226
22 , 70
56 , 172
4 , 16
102 , 310
70 , 214
68 , 208
170 , 514
68 , 208
24 , 76
198 , 598
182 , 550
24 , 76
154 , 466
152 , 460
60 , 184
156 , 472
190 , 574
34 , 106
128 , 388
28 , 88
96 , 292
188 , 568
12 , 40
14 , 46
172 , 520
28 , 88
102 , 310
48 , 148
18 , 58
38 , 118
182 , 550
60 , 184
142 , 430
198 , 598
72 , 220
84 , 256
170 , 514
144 , 436
148 , 448
152 , 460
34 , 106
22 , 70
42 , 130
122 , 370
112 , 340
42 , 130
122 , 370
176 , 532
80 , 244
152 , 460
